Chain,PaymentMethod,PurchaseAmount
Major A,Cash,40.04
Major B,StoreCard,39.45
Major E,Cash,38.89
Other,Cash,37.71
Major A,Cash,37.49
Major A,Cash,37.24
Major A,Cash,36.17
Major A,Cash,36.14
Minor B,Cash,35.69
Major D,Cash,35.56
Regional B,DebitCard,34.58
Major D,Cash,34.55
Regional A,Cash,33.87
Major A,Cash,33.8
Major A,DebitCard,33.7
Major A,Cash,33.49
Major A,Cash,33.29
Major A,Cash,32.72
Major A,Cash,32.68
Regional A,Cash,32.51
Major D,Cash,32.51
Regional D,Cash,31.52
Major B,Check,31.13
Regional A,Cash,31.08
Other,Cash,30.68
Major D,Cash,30.38
Other,Cash,30.35
Regional D,Check,30.18
Major A,Cash,29.63
Major A,Cash,29.04
Regional A,Cash,28.83
Other,StoreCard,27.59
Major D,Cash,27.53
Major A,Check,27.53
Major E,Cash,26.58
Major B,Cash,26.33
Regional A,Cash,23.9
Regional A,Cash,23.71
Other,Check,21.88
Major D,Cash,20.91
Regional C,Check,20.91
Major D,StoreCard,20.75
Other,Cash,20.5
Other,Cash,19.27
Major A,Cash,18.64
Minor C,Check,18.02
Major E,Cash,17.57
Major E,StoreCard,15.53
Major A,DebitCard,13.16
Major B,Check,12.04
Major A,DebitCard,11.27
Major B,StoreCard,10.32
Regional B,StoreCard,10.17
Other,Cash,9.97
Regional D,Cash,9.9
Major A,Cash,9.87
Major D,StoreCard,9.86
Major B,StoreCard,9.84
Other,Check,9.83
Other,Cash,9.8
Major D,Cash,9.75
Regional C,Check,9.65
Other,Cash,9.59
Major D,Cash,9.54
Other,Check,9.53
Major A,Cash,9.52
Major D,Check,9.45
Major A,Cash,9.38
Other,Cash,9.35
Other,Cash,9.34
Regional D,Cash,9.33
Major E,Cash,9.28
Regional D,StoreCard,9.26
Regional B,Cash,9.25
Major E,DebitCard,9.25
Other,Other,9.25
Major D,Check,9.23
Regional C,DebitCard,9.19
Other,Cash,9.11
Major E,Check,9.06
Other,Cash,9.04
Major A,DebitCard,8.93
Major E,StoreCard,8.86
Major A,Cash,8.85
Other,StoreCard,8.85
Other,Cash,8.85
Major A,Cash,8.76
Regional D,Cash,8.72
Major A,Cash,8.72
Major A,Cash,8.69
Major E,StoreCard,8.68
Regional D,Check,8.59
Other,Cash,8.57
Major A,Cash,8.55
Major A,Cash,8.55
Other,Cash,8.54
Major A,Cash,8.52
Major E,StoreCard,8.5
Other,Cash,8.46
Major A,Cash,8.4
Major A,Cash,8.36
Major B,StoreCard,8.35
Major D,StoreCard,8.34
Major B,StoreCard,8.3
Major A,Cash,8.27
Major A,Cash,8.27
Major A,Cash,8.22
Major A,Check,8.18
Major A,Cash,8.18
Regional C,Cash,8.08
Other,Cash,8.08
Major A,Cash,8.05
Major A,Cash,8.03
Major A,Cash,7.93
Other,Cash,7.91
Major B,StoreCard,7.91
Major E,StoreCard,7.9
Major A,Cash,7.87
Other,Other,7.85
Major E,Cash,7.84
Major A,Cash,7.83
Major A,Check,7.75
Major B,Cash,7.73
Other,StoreCard,7.69
Major A,Cash,7.68
Major E,Check,7.66
Major B,StoreCard,7.63
Other,Cash,7.58
Major A,DebitCard,7.57
Other,DebitCard,7.56
Regional C,DebitCard,7.54
Major D,Cash,7.51
Major B,StoreCard,7.48
Other,StoreCard,7.44
Major B,Check,7.36
Major D,Other,7.31
Regional C,Cash,7.26
Major A,Cash,7.25
Major A,Cash,7.21
Major E,Cash,7.18
Major A,Cash,7.15
Regional C,Cash,7.14
Other,StoreCard,7.11
Other,Cash,7.09
Major B,Cash,7
Major D,Cash,7
Other,StoreCard,6.94
Major A,Cash,6.92
Other,StoreCard,6.85
Regional C,StoreCard,6.8
Major B,StoreCard,6.78
Major D,Check,6.75
Major A,Cash,6.72
Major A,Cash,6.65
Major B,Cash,6.64
Major A,Cash,6.63
Regional C,Other,6.6
Other,Cash,6.58
Other,Cash,6.56
Major E,StoreCard,6.53
Major D,Cash,6.48
Regional C,StoreCard,6.46
Major D,Cash,6.43
Other,Cash,6.37
Other,Other,6.35
Major B,Check,6.32
Major A,Check,6.31
Major A,Cash,6.3
Major A,Cash,6.29
Major D,StoreCard,6.2
Major A,Cash,6.19
Regional A,Check,6.1
Major E,StoreCard,6.1
Other,Cash,6.07
Major A,DebitCard,5.98
Major D,Check,5.96
Major D,StoreCard,5.95
Major E,Cash,5.92
Major A,Cash,5.9
Major B,StoreCard,5.9
Major B,Cash,5.84
Regional C,Cash,5.83
Other,Cash,5.79
Regional D,StoreCard,5.75
Other,Cash,5.74
Major B,Cash,5.72
Other,Cash,5.72
Other,Other,5.68
Major B,StoreCard,5.64
Other,Cash,5.58
Major B,Cash,5.53
Major D,Cash,5.52
Major D,Cash,5.5
Major B,StoreCard,5.48
Major A,Cash,5.46
Other,Cash,5.46
Major E,StoreCard,5.31
Other,Check,5.25
Other,Cash,5.24
Other,Cash,5.22
Major D,Cash,5.21
Major B,Cash,5.17
Other,Cash,5.15
Other,Cash,5.12
Major B,Check,5.12
Regional D,Cash,5.07
Major E,Check,5.06
Other,Cash,5.03
Major A,DebitCard,5.01
Other,Cash,4.98
Other,Cash,4.92
Major A,DebitCard,4.88
Other,DebitCard,4.86
Major E,DebitCard,4.84
Regional C,StoreCard,4.84
Major E,Cash,4.79
Major D,Check,4.73
Other,Check,4.67
Other,Cash,4.65
Major A,Cash,4.61
Other,Cash,4.57
Major B,Cash,4.55
Other,StoreCard,4.53
Major A,Cash,4.52
Other,Cash,4.5
Regional B,Cash,4.45
Other,DebitCard,4.39
Major A,Cash,4.37
Other,Cash,4.37
Regional C,StoreCard,4.35
Other,StoreCard,4.28
Major A,Cash,4.27
Major B,StoreCard,4.27
Major B,DebitCard,4.24
Regional C,Check,4.22
Other,Cash,4.16
Other,Cash,4.14
Major B,StoreCard,4.14
Major B,StoreCard,4.09
Major D,StoreCard,4.04
Major B,StoreCard,4
Major B,Cash,3.94
Other,Cash,3.93
Major A,Cash,3.89
Major A,DebitCard,3.83
Other,Cash,3.79
Major D,Other,3.68
Other,Cash,3.66
Major E,Cash,3.59
Major A,Cash,3.58
Other,Cash,3.53
Major D,StoreCard,3.51
Major A,Cash,3.4
Regional A,Check,3.38
Major A,Cash,3.38
Major A,Cash,3.28
Major D,Check,3.27
Major A,Cash,3.21
Major E,StoreCard,3.16
Major E,Check,3.14
Major E,Cash,3.12
Major B,StoreCard,3.11
Major A,Cash,3.07
Regional D,Check,2.99
Regional A,Cash,2.98
Regional C,Cash,2.95
Major A,Cash,2.89
Regional D,StoreCard,2.88
Major A,Cash,2.88
Other,Cash,2.85
Major B,Cash,2.8
Other,Other,2.78
Other,Cash,2.77
Major A,Cash,2.74
Major D,StoreCard,2.71
Other,Cash,2.71
Major A,Cash,2.69
Major A,Cash,2.64
Major A,Cash,2.64
Major A,Cash,2.63
Regional C,Cash,2.63
Major E,StoreCard,2.63
Major E,Cash,2.58
Major B,StoreCard,2.57
Regional D,StoreCard,2.57
Major A,Cash,2.51
Major A,DebitCard,2.5
Major E,StoreCard,2.48
Major A,Cash,2.43
Other,Cash,2.35
Other,Cash,2.24
Major B,StoreCard,2.2
Other,Cash,2.12
Major A,Cash,2.07
Regional C,Cash,2.04
Other,Cash,2.04
Regional C,Check,2
Major E,StoreCard,1.99
Major A,Cash,1.97
Regional B,Check,1.95
Other,Cash,1.92
Other,Cash,1.87
Major B,Cash,1.85
Major A,Cash,1.83
Other,Cash,1.77
Major A,StoreCard,1.72
Regional C,Cash,1.62
Major E,Cash,1.62
Major B,Cash,1.6
Major B,Cash,1.56
Regional C,Cash,1.54
Other,Cash,1.5
Regional C,StoreCard,1.46
Other,DebitCard,1.44
Major A,Check,1.44
Major D,Cash,1.44
Regional B,Cash,1.44
Other,Cash,1.42
Major E,StoreCard,1.35
Regional D,Cash,1.29
Regional C,Cash,1.22
Major A,Cash,1.15
Other,Check,1.15
Major A,Cash,1.14
Major A,Cash,1.13
Major B,Check,1.1
Regional A,Cash,1.05
Major E,Cash,1.03
Other,Check,1.03
Major D,StoreCard,0.97
Major E,StoreCard,0.95
Major E,Check,0.87
Major A,Cash,0.85
Major A,Cash,0.84
Major A,DebitCard,0.82
Other,Cash,0.81
Other,Cash,0.81
Major B,Cash,0.76
Major A,Cash,0.74
Major A,DebitCard,0.73
Major D,Cash,0.68
Major A,Cash,0.66
Regional A,StoreCard,0.65
Other,DebitCard,0.62
Other,Cash,0.57
Major D,Cash,0.53
Major A,Cash,0.51
Regional C,StoreCard,0.48
Major B,StoreCard,0.48
Regional D,StoreCard,0.47
Major D,Check,0.46
Major A,Cash,0.43
Other,Cash,0.42
Regional B,StoreCard,0.29
Other,Other,0.24
Major B,StoreCard,0.23
Other,Cash,0.22
Major A,Cash,0.2
Major B,StoreCard,0.16
Major D,Cash,0.12
Major A,Cash,0.1
Major B,Cash,0.01
Other,Cash,0
Major A,Cash,0
Major B,StoreCard,0
Major E,StoreCard,0
Major D,StoreCard,0
Major B,StoreCard,0
Other,Cash,0
Other,Cash,0
Regional C,StoreCard,0
Regional C,Cash,0
Major B,Check,0
Other,Cash,0
Regional B,Cash,0
Major A,Cash,0
Major B,Cash,0
Regional C,Cash,0
Major A,Cash,0
Major B,StoreCard,0
Major E,Check,0
Regional A,StoreCard,0
Major A,Cash,0
Regional B,Cash,0
Other,Cash,0
Major B,Cash,0
Major A,Cash,0
Major A,Cash,0
Other,Check,0
Major D,Check,0
Regional C,StoreCard,0
Other,Cash,0
Major E,StoreCard,0
Major A,Cash,0
Major B,Cash,0
Other,DebitCard,0
Major D,StoreCard,0
Regional B,Cash,0
Major D,Check,0
Major A,Cash,0
Major E,Cash,0
Major E,StoreCard,0
Other,Check,0
Other,Cash,0
Major B,Cash,0
Major A,Cash,0
Major D,StoreCard,0
Major B,StoreCard,0
Major B,StoreCard,0
Major E,StoreCard,0
Major D,Check,0
Regional C,Cash,0
Other,Check,0
Major B,Cash,0
Major D,Check,0
Regional B,Check,0
Other,Check,0
Major B,DebitCard,0
Major B,StoreCard,0
Regional D,Cash,0
Major A,Cash,0
Regional C,Cash,0
Regional C,StoreCard,0
Major B,Cash,0
Major D,StoreCard,0
Major A,Cash,0
Major A,Cash,0
Major E,Cash,0
Major A,Check,0
Major B,Cash,0
Regional D,StoreCard,0
Major A,Cash,0
Major E,StoreCard,0
Major D,Cash,0
Major D,Check,0
Other,Cash,0
Major B,Cash,0
Other,Cash,0
Other,Cash,0
Major B,Cash,0
Major A,Check,0
Major A,Check,0
Major B,StoreCard,0
Major A,Cash,0
Major B,StoreCard,0
Other,Check,0
Major A,Cash,0
Major B,Check,0
Regional C,DebitCard,0
Other,Cash,0
Other,Cash,0
Other,Cash,0
Major A,Cash,0
Regional D,Check,0
Other,Cash,0
Other,StoreCard,0
Major A,Cash,0
Other,Cash,0
Other,StoreCard,0
Major D,Check,0
Major B,StoreCard,0
Major B,Cash,0
Regional A,Cash,0
Major A,Cash,0
Other,Other,0
Other,Cash,0
Major E,StoreCard,0
Regional C,Check,0
Regional B,Cash,0
Regional C,StoreCard,0
Regional D,Check,0
Major A,Cash,0
Major E,Cash,0
Major A,Cash,0
Regional D,StoreCard,0
Major A,Cash,0
Regional C,StoreCard,0
Regional C,Check,0
Other,Cash,0
Major A,Check,0
Major A,Cash,0
Other,Cash,0
Major E,Cash,0
Other,Cash,0
Major A,Cash,0
Other,Check,0
Other,Cash,0
Other,Cash,0
Major A,Cash,0
Major D,Check,0
Major B,Cash,0
Major B,DebitCard,0
Other,Cash,0
Major A,Cash,0
Major A,Cash,0
Major A,Cash,0
Major A,Cash,0
Other,Check,0
Major B,Cash,0
Regional C,StoreCard,0
Other,DebitCard,0
Other,DebitCard,0
Major B,StoreCard,0
Major E,StoreCard,0
Other,Cash,0
Major D,StoreCard,0
Other,Other,0
Major E,StoreCard,0
Major A,DebitCard,0
Major B,StoreCard,0
Major B,Cash,0
Major B,StoreCard,0
Major E,Check,0
Major A,Cash,0
Other,StoreCard,0
Major B,Cash,0
Major A,Cash,0
Other,Cash,0
Major B,Check,0
Major E,Cash,0
Major E,Cash,0
Other,Cash,0
Major B,Cash,0
Regional B,Check,0
Regional C,StoreCard,0
Regional C,StoreCard,0
Major E,Check,0
Major B,Check,0
Major E,Check,0
Major A,Cash,0
Other,Cash,0
Other,StoreCard,0
Other,StoreCard,0
Regional C,Cash,0
Other,Other,0
Regional C,StoreCard,0
Major A,Cash,0
Major B,Cash,0
Major D,StoreCard,0
Major D,Cash,0
Major E,StoreCard,0
Major A,Cash,0
Major E,Cash,0
Regional C,StoreCard,0
Major D,Cash,0
Major A,Cash,0
Major A,Cash,0
Major D,Cash,0
Other,Cash,0
Other,StoreCard,0
Other,Cash,0
Major A,Cash,0
Other,Cash,0
Other,Cash,0
Major A,Check,0
Regional C,StoreCard,0
Regional D,StoreCard,0
Major E,Cash,0
Other,Cash,0
Other,Cash,0
Major E,Cash,0
Regional D,Check,0
Major E,StoreCard,0
Major B,Cash,0
Major B,StoreCard,0
Other,StoreCard,0
Major D,Cash,0
Major A,Cash,0
Major D,StoreCard,0
Major E,StoreCard,0
Major A,Cash,0
Major D,Cash,0
Major A,DebitCard,0
Major E,StoreCard,0
Major E,Cash,0
Other,Cash,0
Other,Cash,0
Other,Check,0
Major A,Cash,0
Regional C,Cash,0
Major B,Check,0
Major A,Cash,0
Major B,StoreCard,0
Other,Cash,0
Major D,Cash,0
Regional C,StoreCard,0
Other,Cash,0
Other,Cash,0
Regional A,StoreCard,0
Regional C,Cash,0
Other,Cash,0
Major E,StoreCard,0
Major E,Cash,0
Major A,Cash,0
Other,DebitCard,0
Major A,Cash,0
Major A,Cash,0
Major A,Cash,0
Major D,Cash,0
Regional C,Cash,0
Major E,Cash,0
Major B,Cash,0
Major A,Cash,0
Major E,StoreCard,0
Major B,Cash,0
Major A,DebitCard,0
Regional C,StoreCard,0
Major A,Cash,0
Major B,Cash,0
Major D,DebitCard,0
Major E,StoreCard,0
Other,Cash,0
Major A,Cash,0
Major B,Check,0
Major D,Cash,0
Major A,Cash,0
Major B,StoreCard,0
Other,Cash,0
Regional C,Other,0
Major D,StoreCard,0
Major A,Cash,0
Major A,Cash,0
Minor B,Cash,0
Other,Cash,0
Major A,Cash,0
Major B,Cash,0
Other,Cash,0
Other,Cash,0
Major E,StoreCard,0
Major D,Check,0
Other,Cash,0
Other,Cash,0
Major B,StoreCard,0
Major A,Cash,0
Major D,StoreCard,0
Major E,Cash,0
Major A,Cash,0
Major E,StoreCard,0
Major E,DebitCard,0
Major D,Check,0
Major A,Cash,0
Minor B,Check,0
Major E,Cash,0
Regional A,DebitCard,0
Regional B,Check,0
Major A,Cash,0
Other,Cash,0
Major D,Cash,0
Other,Cash,0
Major D,Cash,0
Major A,DebitCard,0
Major D,Check,0
Major D,Check,0
Major E,Check,0
Major E,Check,0
Regional C,DebitCard,0
Regional A,Check,0
Other,Cash,0
Major B,StoreCard,0
Other,Cash,0
Major B,Cash,0
Major B,StoreCard,0
Major A,Cash,0
Major B,StoreCard,0
Major A,Cash,0
Major E,StoreCard,0
Major E,StoreCard,0
Major A,Cash,0
Other,Cash,0
Major D,Cash,0
Other,Cash,0
Other,Cash,0
Other,StoreCard,0
Other,StoreCard,0
Other,Cash,0
Other,Check,0
Major D,Cash,0
Other,Cash,0
Major A,Check,0
Major E,Check,0
Major B,Check,0
Major D,StoreCard,0
Major A,Cash,0
Major A,Cash,0
Regional D,Check,0
Major A,Cash,0
Major A,Cash,0
Major B,Cash,0
Major E,Cash,0
Other,StoreCard,0
Major B,Check,0
Major E,StoreCard,0
Other,Cash,0
